id,session,split,n_drones,drones,maneuver_type,flight_phase,description,altitude_m,speed_mps,radius_m,start_coord,end_coord,duration_s,within_session_offset_s,local_start_s,smpte_start_s,utc_start_s,onset_from_rec_s,azimuth_deg_onset,distance_m_onset,mems_available,quality_flags,gpx_folder
25,show_9,train,1,"[""drone130""]",diagonal,transit_diagonal,"Cube diagonal D: (60,60,0)→(-60,-60,120), 4 m/s",60,4.0,,"[60, 60, 0]","[-60, -60, 120]",69,72,53892,53892,46692,4932,45.0,84.9,True,"[""start_z_approx_5m_not_0""]",DRON-GPX/bySHOW/Show09/
23,show_9,train,1,"[""drone130""]",diagonal,transit_diagonal,"Cube diagonal B: (-60,60,0)→(60,-60,120), 4 m/s",60,4.0,,"[-60, 60, 0]","[60, -60, 120]",69,144,53964,53964,46764,5004,135.0,84.9,True,"[""start_z_approx_5m_not_0""]",DRON-GPX/bySHOW/Show09/
24,show_9,train,1,"[""drone130""]",diagonal,transit_diagonal,"Cube diagonal C: (60,-60,0)→(-60,60,120), 4 m/s",60,4.0,,"[60, -60, 0]","[-60, 60, 120]",69,216,54036,54036,46836,5076,-45.0,84.9,True,"[""start_z_approx_5m_not_0""]",DRON-GPX/bySHOW/Show09/
27,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2× circle r=5 m, 20 m, 4 m/s",20,4.0,5.0,"[-2.5, 0, 20]",,8,0,54780,54780,47580,5820,180.0,2.5,True,[],DRON-GPX/bySHOW/Show11/
28,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2× circle r=30 m, 20 m, 4 m/s",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,54791,54791,47591,5831,180.0,2.5,True,[],DRON-GPX/bySHOW/Show11/
29,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2× circle r=60 m, 20 m, 4 m/s",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,54841,54841,47641,5881,180.0,2.5,True,[],DRON-GPX/bySHOW/Show11/
30,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3× circle r=10 m, 20 m, 4 m/s (adjusted from r=5m)",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,55620,55620,48420,6660,180.0,2.5,True,"[""radius_adjusted_from_5m_to_10m""]",DRON-GPX/bySHOW/Show12/
31,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3× circle r=30 m, 20 m, 4 m/s",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,55631,55631,48431,6671,180.0,2.5,True,[],DRON-GPX/bySHOW/Show12/
32,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3× circle r=60 m, 20 m, 4 m/s",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,55681,55681,48481,6721,180.0,2.5,True,[],DRON-GPX/bySHOW/Show12/
33,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4× circle r=10 m, 20 m, 4 m/s",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,56520,56520,49320,7560,180.0,2.5,True,[],DRON-GPX/bySHOW/Show13/
34,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4× circle r=30 m, 20 m, 4 m/s",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,56531,56531,49331,7571,180.0,2.5,True,[],DRON-GPX/bySHOW/Show13/
35,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4× circle r=60 m, 20 m, 4 m/s",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,56581,56581,49381,7621,180.0,2.5,True,[],DRON-GPX/bySHOW/Show13/
36,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5× circle r=10 m, 20 m, 4 m/s",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,57420,57420,50220,8460,180.0,2.5,True,[],DRON-GPX/bySHOW/Show14/
37,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5× circle r=30 m, 20 m, 4 m/s",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,57431,57431,50231,8471,180.0,2.5,True,[],DRON-GPX/bySHOW/Show14/
38,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5× circle r=60 m, 20 m, 4 m/s",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,57481,57481,50281,8521,180.0,2.5,True,[],DRON-GPX/bySHOW/Show14/
39,show_15,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",formation,formation_v,"V-formation transit, 4 m/s",20,4.0,,"[-60, 0, 20]","[60, 0, 20]",60,0,58260,58260,51060,9300,180.0,60.0,True,"[""v_formation_not_always_maintained""]",DRON-GPX/bySHOW/Show15/
40,show_15,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",formation,formation_v,"V-formation transit, 8 m/s",20,8.0,,"[-60, 0, 20]","[60, 0, 20]",30,63,58323,58323,51123,9363,180.0,60.0,True,"[""v_formation_not_always_maintained""]",DRON-GPX/bySHOW/Show15/
41,show_10,test,1,"[""drone130""]",long_range,long_range,"Max-range manual approach: 300m NW → 300m SE, 20m altitude, 8 m/s",20,8.0,,"[-212.0, -212.0, 20]","[212.0, 212.0, 20]",188,0,59100,59100,51900,10140,-135.0,299.8,True,"[""manual_flight"", ""audible_to_200m_BK6E""]",DRON-GPX/bySHOW/Show10/
