id,session,split,n_drones,drones,maneuver_type,flight_phase,description,altitude_m,speed_mps,radius_m,start_coord,end_coord,duration_s,within_session_offset_s,local_start_s,local_start_hms,local_end_hms,smpte_start_s,utc_start_s,utc_start_hms,onset_from_rec_s,azimuth_deg_onset,distance_xy_m_onset,distance_3d_m_onset,mems_available,quality_flags,gpx_folder
11,show_2,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 20 m, 8 m/s × 2 (SW↔NE)",20,8.0,,"[-60, -60, 20]","[60, 60, 20]",33,246,50046,13:54:06,13:54:39,50046,42846,11:54:06,1086,-135.0,84.9,87.2,False,[],DRON-GPX/bySHOW/Show02/
13,show_5,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 60 m, 4 m/s × 2 (SW↔NE)",60,4.0,,"[-60, -60, 60]","[60, 60, 60]",66,0,50880,14:08:00,14:09:06,50880,43680,12:08:00,1920,-135.0,84.9,103.9,True,"[""mems_starts_120s_before_show_trigger"", ""show5_log_timestamps_unreliable""]",DRON-GPX/bySHOW/Show05/
14,show_5,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 60 m, 8 m/s × 2 (SW↔NE)",60,8.0,,"[-60, -60, 60]","[60, 60, 60]",33,69,50949,14:09:09,14:09:42,50949,43749,12:09:09,1989,-135.0,84.9,103.9,True,"[""show5_log_timestamps_unreliable""]",DRON-GPX/bySHOW/Show05/
16,show_7,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 120 m, 4 m/s × 2 (SW↔NE)",120,4.0,,"[-60, -60, 120]","[60, 60, 120]",66,0,51840,14:24:00,14:25:06,51840,44640,12:24:00,2880,-135.0,84.9,147.0,True,[],DRON-GPX/bySHOW/Show07/
17,show_7,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 120 m, 8 m/s × 2 (SW↔NE)",120,8.0,,"[-60, -60, 120]","[60, 60, 120]",33,69,51909,14:25:09,14:25:42,51909,44709,12:25:09,2949,-135.0,84.9,147.0,True,[],DRON-GPX/bySHOW/Show07/
18,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=5 m at 20 m altitude, 4 m/s × 2 laps",20,4.0,5.0,"[-2.5, 0, 20]",,16,0,52860,14:41:00,14:41:16,52860,45660,12:41:00,3900,180.0,2.5,20.2,True,"[""uncertain_start_radius"", ""short_segment""]",DRON-GPX/bySHOW/Show08/
19,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=30 m at 20 m altitude, 4 m/s × 2 laps",20,4.0,30.0,"[-15, 0, 20]",,94,19,52879,14:41:19,14:42:53,52879,45679,12:41:19,3919,180.0,15.0,25.0,True,[],DRON-GPX/bySHOW/Show08/
20,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=60 m at 20 m altitude, 4 m/s × 2 laps",20,4.0,60.0,"[-30, 0, 20]",,188,116,52976,14:42:56,14:46:04,52976,45776,12:42:56,4016,180.0,30.0,36.1,True,[],DRON-GPX/bySHOW/Show08/
21,show_8,train,1,"[""drone88""]",figure8,figure8,"Figure-8 (lying-8) at 20 m altitude, 4 m/s × 2 laps (~120 m span)",20,4.0,,,,63,307,53167,14:46:07,14:47:10,53167,45967,12:46:07,4207,,,,True,"[""approx_120m_total_span""]",DRON-GPX/bySHOW/Show08/
22,show_9,train,1,"[""drone130""]",diagonal_3d,transit_diagonal_3d,"Cube diagonal A: (−60,−60,~5) → (+60,+60,120) at 4 m/s",60,4.0,,"[-60, -60, 5]","[60, 60, 120]",69,0,53820,14:57:00,14:58:09,53820,46620,12:57:00,4860,-135.0,84.9,85.0,True,"[""start_z_approx_5m_not_0"", ""execution_order_1_of_4""]",DRON-GPX/bySHOW/Show09/
25,show_9,train,1,"[""drone130""]",diagonal_3d,transit_diagonal_3d,"Cube diagonal D: (+60,+60,~5) → (−60,−60,120) at 4 m/s",60,4.0,,"[60, 60, 5]","[-60, -60, 120]",69,72,53892,14:58:12,14:59:21,53892,46692,12:58:12,4932,45.0,84.9,85.0,True,"[""start_z_approx_5m_not_0"", ""execution_order_2_of_4""]",DRON-GPX/bySHOW/Show09/
23,show_9,train,1,"[""drone130""]",diagonal_3d,transit_diagonal_3d,"Cube diagonal B: (−60,+60,~5) → (+60,−60,120) at 4 m/s",60,4.0,,"[-60, 60, 5]","[60, -60, 120]",69,144,53964,14:59:24,15:00:33,53964,46764,12:59:24,5004,135.0,84.9,85.0,True,"[""start_z_approx_5m_not_0"", ""execution_order_3_of_4""]",DRON-GPX/bySHOW/Show09/
24,show_9,train,1,"[""drone130""]",diagonal_3d,transit_diagonal_3d,"Cube diagonal C: (+60,−60,~5) → (−60,+60,120) at 4 m/s",60,4.0,,"[60, -60, 5]","[-60, 60, 120]",69,216,54036,15:00:36,15:01:45,54036,46836,13:00:36,5076,-45.0,84.9,85.0,True,"[""start_z_approx_5m_not_0"", ""execution_order_4_of_4""]",DRON-GPX/bySHOW/Show09/
27,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2-drone circle r=5 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,5.0,"[-2.5, 0, 20]",,8,0,54780,15:13:00,15:13:08,54780,47580,13:13:00,5820,180.0,2.5,20.2,True,"[""short_segment""]",DRON-GPX/bySHOW/Show11/
28,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2-drone circle r=30 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,54791,15:13:11,15:13:58,54791,47591,13:13:11,5831,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show11/
29,show_11,train,2,"[""drone65"", ""drone130""]",circle,orbit,"2-drone circle r=60 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,54841,15:14:01,15:17:09,54841,47641,13:14:01,5881,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show11/
30,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3-drone circle r=10 m at 20 m altitude, 4 m/s (r=5m was too narrow → 10m)",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,55620,15:27:00,15:27:08,55620,48420,13:27:00,6660,180.0,2.5,20.2,True,"[""radius_adjusted_from_5m_to_10m"", ""short_segment""]",DRON-GPX/bySHOW/Show12/
31,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3-drone circle r=30 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,55631,15:27:11,15:27:58,55631,48431,13:27:11,6671,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show12/
32,show_12,train,3,"[""drone65"", ""drone130"", ""drone132""]",circle,orbit,"3-drone circle r=60 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,55681,15:28:01,15:31:09,55681,48481,13:28:01,6721,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show12/
33,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4-drone circle r=10 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,56520,15:42:00,15:42:08,56520,49320,13:42:00,7560,180.0,2.5,20.2,True,"[""short_segment""]",DRON-GPX/bySHOW/Show13/
34,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4-drone circle r=30 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,56531,15:42:11,15:42:58,56531,49331,13:42:11,7571,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show13/
35,show_13,val,4,"[""drone65"", ""drone78"", ""drone130"", ""drone132""]",circle,orbit,"4-drone circle r=60 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,56581,15:43:01,15:46:09,56581,49381,13:43:01,7621,180.0,2.5,20.2,True,[],DRON-GPX/bySHOW/Show13/
36,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5-drone circle r=10 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,10.0,"[-2.5, 0, 20]",,8,0,57420,15:57:00,15:57:08,57420,50220,13:57:00,8460,180.0,2.5,20.2,True,"[""short_segment"", ""drone132_log_id_shared_with_show_13""]",DRON-GPX/bySHOW/Show14/
37,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5-drone circle r=30 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,30.0,"[-2.5, 0, 20]",,47,11,57431,15:57:11,15:57:58,57431,50231,13:57:11,8471,180.0,2.5,20.2,True,"[""drone132_log_id_shared_with_show_13""]",DRON-GPX/bySHOW/Show14/
38,show_14,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",circle,orbit,"5-drone circle r=60 m at 20 m altitude, 4 m/s (drones evenly spaced)",20,4.0,60.0,"[-2.5, 0, 20]",,188,61,57481,15:58:01,16:01:09,57481,50281,13:58:01,8521,180.0,2.5,20.2,True,"[""drone132_log_id_shared_with_show_13""]",DRON-GPX/bySHOW/Show14/
39,show_15,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",formation,formation_v,"V-formation transit at 20 m altitude, 4 m/s",20,4.0,,"[-60, 0, 20]","[60, 0, 20]",60,0,58260,16:11:00,16:12:00,58260,51060,14:11:00,9300,180.0,60.0,63.2,True,"[""v_formation_not_always_maintained""]",DRON-GPX/bySHOW/Show15/
40,show_15,test,5,"[""drone65"", ""drone78"", ""drone88"", ""drone130"", ""drone132""]",formation,formation_v,"V-formation transit at 20 m altitude, 8 m/s",20,8.0,,"[-60, 0, 20]","[60, 0, 20]",30,63,58323,16:12:03,16:12:33,58323,51123,14:12:03,9363,180.0,60.0,63.2,True,"[""v_formation_not_always_maintained""]",DRON-GPX/bySHOW/Show15/
41,show_10,test,1,"[""drone130""]",long_range,long_range,"Max-range manual approach: 300m NW → origin → 300m SE at 20m, 8 m/s",20,8.0,,"[-212.0, -212.0, 20]","[212.0, 212.0, 20]",188,0,59100,16:25:00,16:28:08,59100,51900,14:25:00,10140,-135.0,299.8,300.5,True,"[""manual_flight"", ""no_show_file"", ""audible_to_200m_on_BK6E""]",DRON-GPX/bySHOW/Show10/
